sol,target,scan,point,mean,amplitude,fwhm,snr
861,Dragons_Egg_Lake,detail_1,47,1138.5670592110223,8332.052119162576,79.25833074540803,40.354141111071954
861,Dragons_Egg_Lake,detail_1,58,991.9550766242127,3999.6070532361223,30.0,40.164115169644056
861,Dragons_Egg_Lake,detail_1,51,995.6535036358632,7460.237931404071,47.645814530468215,39.640921237372
861,Dragons_Egg_Lake,detail_1,19,1137.069019027033,4312.480982688819,67.25905999525733,39.06996171784294
861,Dragons_Egg_Lake,detail_1,59,1139.78334049213,6425.067226805398,87.00121016040431,38.02769353053089
861,Dragons_Egg_Lake,detail_1,85,1136.174540978653,5236.580576216781,85.03170424850684,37.45641864545523
861,Dragons_Egg_Lake,detail_1,39,1140.4802721383255,5316.5769028984705,73.67354584940956,37.212031238434385
861,Dragons_Egg_Lake,detail_1,57,996.9764093843613,7579.011102887769,30.0,36.04782860579278
861,Dragons_Egg_Lake,detail_1,79,1150.4511251846798,4543.919376199325,75.46790893636619,35.985402372063284
861,Dragons_Egg_Lake,detail_1,49,995.8547705535772,3941.618861621463,30.0,35.82535918468585
861,Dragons_Egg_Lake,detail_1,44,995.0937113474903,4396.517367354657,30.0,34.4095500617474
861,Dragons_Egg_Lake,detail_1,8,1002.4882323630728,2515.9678321523998,39.103198501444446,34.198103121672645
861,Dragons_Egg_Lake,detail_1,35,1146.0058884108037,4393.736499879188,83.15634172287206,34.14612896665013
861,Dragons_Egg_Lake,detail_1,70,1012.0029210843446,6383.250314688814,33.733248863331866,33.820968418041154
861,Dragons_Egg_Lake,detail_1,48,1161.4818151506913,7145.288779065356,55.881343638552,33.66233300297644
861,Dragons_Egg_Lake,detail_1,27,1034.1423218882985,3161.9323603719167,52.36889812065522,32.89097212154802
861,Dragons_Egg_Lake,detail_1,69,1143.586204341783,3804.943411806522,69.88002023611584,32.60130501460386
861,Dragons_Egg_Lake,detail_1,20,1146.289742136184,4020.059025571911,79.20203023915077,32.34849692342517
861,Dragons_Egg_Lake,detail_1,44,1081.4219714141575,4128.902077927409,40.32537180066936,32.31504640591934
861,Dragons_Egg_Lake,detail_1,57,1143.4169417320875,6780.950254264065,82.55461552035675,32.2520351575922
861,Dragons_Egg_Lake,detail_1,76,1153.7497335313788,4474.864943399112,63.22483561835808,31.737361006625814
861,Dragons_Egg_Lake,detail_1,20,993.9603905174952,3894.976686969446,30.0,31.341987909572804
861,Dragons_Egg_Lake,detail_1,30,1149.6735873586651,4813.580812503917,82.40516943958266,31.316584240717237
861,Dragons_Egg_Lake,detail_1,48,1122.975081971837,6616.815920713227,44.032911499217214,31.172632461690387
861,Dragons_Egg_Lake,detail_1,66,1144.0146760673542,5772.491421990538,77.69619776933652,31.02266661264014
861,Dragons_Egg_Lake,detail_1,40,994.639943274491,3960.7328284389887,48.64031335205579,31.019666208701516
861,Dragons_Egg_Lake,detail_1,45,990.6196750513849,4127.445851493763,30.1957267537987,30.638916111383487
861,Dragons_Egg_Lake,detail_1,54,1017.3398531612232,3902.8694273369024,30.0,30.53609555935754
861,Dragons_Egg_Lake,detail_1,84,993.6254110881233,4870.179623615007,30.0,30.521448945163325
861,Dragons_Egg_Lake,detail_1,0,700.0,3425.49267347123,30.0,30.489391679608175
861,Dragons_Egg_Lake,detail_1,28,991.5530670225688,3368.450704468443,53.09378332067958,29.46035290337286
861,Dragons_Egg_Lake,detail_1,42,1147.9942128982382,2354.5715545290045,71.46588929584227,28.93243245359768
861,Dragons_Egg_Lake,detail_1,49,1147.1437665451876,3179.4300272663513,80.58306963856067,28.897827701822955
861,Dragons_Egg_Lake,detail_1,95,993.3502214860796,3402.4081017312296,54.49501952630905,28.134508623764397
861,Dragons_Egg_Lake,detail_1,11,1072.9141628472114,2234.596255530908,85.26285941194351,27.769047772224923
861,Dragons_Egg_Lake,detail_1,73,1146.6672112788533,4052.283455376221,82.0523841162211,27.133349123101986
861,Dragons_Egg_Lake,detail_1,81,993.1346310178506,3075.5673406624874,30.0,26.93263121075538
861,Dragons_Egg_Lake,detail_1,53,1148.0646678723317,3188.3327965108238,47.51908051917092,26.629192115068708
861,Dragons_Egg_Lake,detail_1,82,1149.454984178869,3578.370088127356,68.51570091624339,26.45391292005561
861,Dragons_Egg_Lake,detail_1,37,999.2218611605142,2886.1662557128807,90.0,26.30656787990779
861,Dragons_Egg_Lake,detail_1,35,1085.2056873724887,3302.540794653882,41.404290489065126,25.66585044300572
861,Dragons_Egg_Lake,detail_1,97,1123.3907086580487,2429.5268461942746,57.931610308133365,25.332847450302943
861,Dragons_Egg_Lake,detail_1,73,995.8413849457189,3770.9475080143557,30.0,25.24957505726744
861,Dragons_Egg_Lake,detail_1,43,1116.1082013104383,3526.0877801964475,82.23385507319536,25.2179822582605
861,Dragons_Egg_Lake,detail_1,41,992.159866755767,1951.451588079506,30.0,25.036332721015437
861,Dragons_Egg_Lake,detail_1,32,989.449623236311,3494.8531071503576,30.0,24.40941965987629
861,Dragons_Egg_Lake,detail_1,66,991.5157361610859,4535.626997092821,30.0,24.375479134377024
861,Dragons_Egg_Lake,detail_1,34,995.6345957892322,4308.718034907486,61.750312347124435,23.891200421501154
861,Dragons_Egg_Lake,detail_1,83,1130.6922835070725,3191.905823939089,41.545253159586075,23.435944021841696
861,Dragons_Egg_Lake,detail_1,36,974.1688976083881,2591.285309448659,30.0,22.75145135278585
861,Dragons_Egg_Lake,detail_1,33,1097.7984048870153,5158.629721837282,64.84957398697985,22.484589571434753
861,Dragons_Egg_Lake,detail_1,24,1148.6431066052903,3370.9977026979063,67.75925231425613,22.17360526994813
861,Dragons_Egg_Lake,detail_1,71,1147.6703581098188,4102.62356080204,62.133051267825216,21.988792207486
861,Dragons_Egg_Lake,detail_1,68,1138.5119414068727,3750.0888352391885,83.49388158496265,21.90931162742826
861,Dragons_Egg_Lake,detail_1,34,1092.4985129032227,3920.9877540256416,75.04429241343998,21.74129370331137
861,Dragons_Egg_Lake,detail_1,89,1019.9905516635077,4817.512840711667,30.0,21.66347247610621
861,Dragons_Egg_Lake,detail_1,65,1131.4390469973268,2712.895741434433,90.0,21.52685184908139
861,Dragons_Egg_Lake,detail_1,16,1143.0937411191112,3568.015107966931,75.30870141707767,21.419936741885184
861,Dragons_Egg_Lake,detail_1,70,1090.7167458982726,4041.0249539224574,68.19741556794474,21.410938096634933
861,Dragons_Egg_Lake,detail_1,64,990.1160926750266,4391.399385385914,48.582328862782106,21.092468686509903
861,Dragons_Egg_Lake,detail_1,35,992.3780431778348,2713.5401697688644,30.0,21.088404503925318
861,Dragons_Egg_Lake,detail_1,91,991.2421612855393,2962.9678460702658,44.61487851123922,20.860997877254075
861,Dragons_Egg_Lake,detail_1,95,1173.1946864479305,2513.78477485769,40.44580339267357,20.78648337056779
861,Dragons_Egg_Lake,detail_1,83,999.0118907268558,2765.759927767725,30.523209049937766,20.30705115385455
861,Dragons_Egg_Lake,detail_1,77,1129.2717840768628,3627.7508276992558,73.29488565352544,20.111453885535436
861,Dragons_Egg_Lake,detail_1,43,1000.5162085957436,2807.6587969434613,63.0161930163003,20.07989991804021
861,Dragons_Egg_Lake,detail_1,2,1015.2997122374547,3051.150062187048,34.9712775176836,19.824880543002465
