sol,target,scan,point,mean,amplitude,fwhm,snr,min_ID,peak_ID,master_ID
861,Dragons_Egg_Lake,detail_1,31,1133.2358356776929,8601.672510349495,61.75337607613291,58.93836918699937,sulf_v3,146,861_Dragons_Egg_Lake_detail_1_f146
861,Dragons_Egg_Lake,detail_1,31,1171.5329278906286,3368.264316486038,43.53031840116222,23.07923320326271,unidentified,147,861_Dragons_Egg_Lake_detail_1_f147
861,Dragons_Egg_Lake,detail_1,32,989.6317620932508,3411.5907338769775,30.0,23.82604923212067,pyroxene,148,861_Dragons_Egg_Lake_detail_1_f148
861,Dragons_Egg_Lake,detail_1,32,1021.1029033213052,42101.72413454559,30.0,294.0322653669802,sulf2_v1,149,861_Dragons_Egg_Lake_detail_1_f149
861,Dragons_Egg_Lake,detail_1,32,1085.6948435173647,2910.068785642866,40.03817455911666,20.32349351494187,hi-carb,150,861_Dragons_Egg_Lake_detail_1_f150
861,Dragons_Egg_Lake,detail_1,32,1141.7080577481902,6676.8336435753445,50.60979773598432,46.63002672824188,unidentified,151,861_Dragons_Egg_Lake_detail_1_f151
861,Dragons_Egg_Lake,detail_1,32,1181.7207970235388,2805.871803203911,34.12490206395647,19.59579707445832,unidentified,152,861_Dragons_Egg_Lake_detail_1_f152
861,Dragons_Egg_Lake,detail_1,33,990.6912006599798,3285.064261619913,53.13883622027992,14.315687058543864,pyroxene,153,861_Dragons_Egg_Lake_detail_1_f153
861,Dragons_Egg_Lake,detail_1,33,1012.9673969211456,51990.52750003751,30.0,226.56485913981496,sulf1_v1,154,861_Dragons_Egg_Lake_detail_1_f154
861,Dragons_Egg_Lake,detail_1,33,1091.3498427726431,4604.296716758069,57.806808557840526,20.064651913167296,hi-carb,155,861_Dragons_Egg_Lake_detail_1_f155
861,Dragons_Egg_Lake,detail_1,33,1125.528007583314,499.99988548417247,30.0,2.1789046788294932,sulf_v3,156,861_Dragons_Egg_Lake_detail_1_f156
861,Dragons_Egg_Lake,detail_1,33,1147.648190573588,7188.4519983620785,70.75959190747625,31.32591056016985,unidentified,157,861_Dragons_Egg_Lake_detail_1_f157
861,Dragons_Egg_Lake,detail_1,34,989.885359660125,2162.427837396398,30.0,12.004772546318089,pyroxene,158,861_Dragons_Egg_Lake_detail_1_f158
861,Dragons_Egg_Lake,detail_1,34,1008.5421327545838,3300.5168397942407,90.0,18.322902277621424,pyroxene,159,861_Dragons_Egg_Lake_detail_1_f159
861,Dragons_Egg_Lake,detail_1,34,1012.3919348209562,78143.00056513466,31.318336991534373,433.8128337270775,sulf1_v1,160,861_Dragons_Egg_Lake_detail_1_f160
