pixel,wavelength,raman_shift
1165,313.61,8342.2
1166,313.66,8347.3
1167,313.71,8352.4
1168,313.76,8357.5
1169,313.81,8362.59
1170,313.86,8367.68
1171,313.91,8372.77
1172,313.96,8377.85
1173,314.01,8382.93
1174,314.06,8388.01
1175,314.11,8393.08
1176,314.16,8398.16
1177,314.21,8403.23
1178,314.26,8408.3
1179,314.31,8413.36
1180,314.36,8418.42
1181,314.41,8423.48
1182,314.46,8428.54
1183,314.51,8433.59
1184,314.56,8438.64
1185,314.61,8443.69
1186,314.66,8448.74
1187,314.71,8453.78
1188,314.76,8458.82
1189,314.81,8463.86
1190,314.86,8468.89
1191,314.91,8473.92
1192,314.96,8478.95
1193,315.01,8483.98
1194,315.06,8489
1195,315.11,8494.02
1196,315.16,8499.04
1197,315.21,8504.06
1198,315.26,8509.07
1199,315.31,8514.08
1200,315.36,8519.09
1201,315.41,8524.09
1202,315.46,8529.09
1203,315.51,8534.09
1204,315.56,8539.09
1205,315.61,8544.08
1206,315.66,8549.07
1207,315.71,8554.06
1208,315.76,8559.05
1209,315.81,8564.03
1210,315.86,8569.01
1211,315.91,8573.99
1212,315.96,8578.96
1213,316.01,8583.93
1214,316.06,8588.9
1215,316.11,8593.87
1216,316.16,8598.83
1217,316.21,8603.79
1218,316.26,8608.75
1219,316.31,8613.71
1220,316.36,8618.66
1221,316.41,8623.61
1222,316.46,8628.56
1223,316.5,8633.51
1224,316.55,8638.45
1225,316.6,8643.39
1226,316.65,8648.33
1227,316.7,8653.26
1228,316.75,8658.19
1229,316.8,8663.12
1230,316.85,8668.05
1231,316.9,8672.97
1232,316.95,8677.89
1233,317,8682.81
1234,317.05,8687.73
1235,317.1,8692.64
1236,317.15,8697.55
1237,317.2,8702.46
1238,317.25,8707.36
1239,317.3,8712.27
1240,317.35,8717.17
1241,317.39,8722.06
1242,317.44,8726.96
1243,317.49,8731.85
1244,317.54,8736.74
1245,317.59,8741.63
1246,317.64,8746.51
1247,317.69,8751.39
1248,317.74,8756.27
1249,317.79,8761.15
1250,317.84,8766.02
1251,317.89,8770.89
1252,317.94,8775.76
1253,317.99,8780.62
1254,318.03,8785.49
1255,318.08,8790.35
1256,318.13,8795.21
